;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
BA;CICERO DANTAS;29503604;22637846000170;ESCOLINHA IRMA LORENZINA;PRÉ-ESCOLA PARCIAL CONVENIADA; 41 ;Filantrópica;Municipal
BA;CICERO DANTAS;29503604;22637846000170;ESCOLINHA IRMA LORENZINA;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Filantrópica;Municipal
BA;CICERO DANTAS;29503604;22637846000170;ESCOLINHA IRMA LORENZINA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 5 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504805;;ESCOLINHA PRIMAVERA DE OLIVIA;CRECHE PARCIAL CONVENIADA; 22 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504805;;ESCOLINHA PRIMAVERA DE OLIVIA;PRÉ-ESCOLA PARCIAL CONVENIADA; 33 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504805;;ESCOLINHA PRIMAVERA DE OLIVIA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 1 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504406;;ESCOLINHA SANTA TEREZINHA;CRECHE PARCIAL CONVENIADA; 21 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504406;;ESCOLINHA SANTA TEREZINHA;PRÉ-ESCOLA PARCIAL CONVENIADA; 16 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504406;;ESCOLINHA SANTA TEREZINHA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 2 ;Filantrópica;Municipal
BA;CORRENTINA;29377510;1547904000102;EE - ESCOLA FAMILIA AGRICOLA PADRE ANDRE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 126 ;Comunitária;Estadual
BA;CORRENTINA;29377510;1547904000102;EE - ESCOLA FAMILIA AGRICOLA PADRE ANDRE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 1 ;Comunitária;Estadual
BA;ENTRE RIOS;29156157;13253778000154;APAE ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ENTRE RIOS;EDUCAÇÃO ESPECIAL CONVENIADA - FUNDAMENTAL ; 44 ;Filantrópica;Municipal
BA;ENTRE RIOS;29472105;;ESCOLA CRECHE NOVA GERACAO;CRECHE PARCIAL CONVENIADA; 12 ;Filantrópica;Municipal
BA;ENTRE RIOS;29472105;;ESCOLA CRECHE NOVA GERACAO;PRÉ-ESCOLA PARCIAL CONVENIADA; 52 ;Filantrópica;Municipal
BA;INHAMBUPE;29432928;;ESCOLA FAMILIA AGRICOLA DA REGIAO DE ALAGOINHAS;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 102 ;Comunitária;Estadual
BA;INHAMBUPE;29432928;;ESCOLA FAMILIA AGRICOLA DA REGIAO DE ALAGOINHAS;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 2 ;Comunitária;Estadual
BA;INHAMBUPE;29482224;45417320000180;ESCOLA WALDORF FLOR DE LARANJEIRA;PRÉ-ESCOLA PARCIAL CONVENIADA CAMPO; 6 ;Filantrópica;Municipal
BA;INHAMBUPE;29482224;45417320000180;ESCOLA WALDORF FLOR DE LARANJEIRA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA CAMPO; 1 ;Filantrópica;Municipal
BA;IRARA;29396158;8277270000156;ESCOLA FAMILIA AGRICOLA DOS MUNICIPIOS INTEGRADOS DA REGIAO DE IRARA;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 108 ;Comunitária;Estadual
