Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
AL;SATUBA;2708907; 149.968,63 ; 164.965,50 ; 179.962,36 ; 194.959,22 ; 209.170,06 ; 224.756,46 ; 224.756,46 ; 239.740,23 ; 245.007,12 ; 245.466,86 ; 245.466,86 ; 245.466,86 ; 453.474,12 ; 3.023.160,74 
AL;SENADOR RUI PALMEIRA;2708956; 100.190,51 ; 110.209,56 ; 120.228,61 ; 130.247,66 ; 139.740,14 ; 150.154,13 ; 150.154,13 ; 160.164,41 ; 163.696,03 ; 163.991,96 ; 163.991,96 ; 163.991,96 ; 302.957,84 ; 2.019.718,90 
AL;TANQUE DARCA;2709004; 44.634,51 ; 49.097,97 ; 53.561,42 ; 58.024,87 ; 62.254,17 ; 66.893,25 ; 66.893,25 ; 71.352,80 ; 72.921,81 ; 73.057,39 ; 73.057,39 ; 73.057,39 ; 134.965,81 ; 899.772,03 
AL;TAQUARANA;2709103; 182.168,74 ; 200.385,61 ; 218.602,48 ; 236.819,36 ; 254.082,59 ; 273.014,70 ; 273.014,70 ; 291.215,68 ; 297.603,43 ; 298.170,56 ; 298.170,56 ; 298.170,56 ; 550.838,65 ; 3.672.257,62 
AL;TEOTONIO VILELA;2709152; 445.441,29 ; 489.985,42 ; 534.529,55 ; 579.073,68 ; 621.309,66 ; 667.584,91 ; 667.584,91 ; 712.090,57 ; 727.493,88 ; 729.067,92 ; 729.067,92 ; 729.067,92 ; 1.346.876,06 ; 8.979.173,69 
AL;TRAIPU;2709202; 114.538,79 ; 125.992,67 ; 137.446,55 ; 148.900,43 ; 159.800,58 ; 171.669,77 ; 171.669,77 ; 183.114,42 ; 186.711,38 ; 187.431,42 ; 187.431,42 ; 187.431,42 ; 346.259,76 ; 2.308.398,38 
AL;UNIAO DOS PALMARES;2709301; 583.578,57 ; 641.936,42 ; 700.294,28 ; 758.652,14 ; 814.003,09 ; 874.616,15 ; 874.616,15 ; 932.923,89 ; 952.948,38 ; 955.145,40 ; 955.145,40 ; 955.145,40 ; 1.764.530,35 ; 11.763.535,62 
AL;VICOSA;2709400; 143.840,43 ; 158.224,47 ; 172.608,52 ; 186.992,56 ; 200.622,93 ; 215.572,24 ; 215.572,24 ; 229.943,72 ; 234.993,48 ; 235.436,09 ; 235.436,09 ; 235.436,09 ; 434.943,34 ; 2.899.622,20 
AM;ALVARAES;1300029; 64.912,81 ; 71.404,09 ; 77.895,38 ; 84.386,66 ; 90.564,09 ; 97.290,77 ; 97.290,77 ; 103.776,83 ; 105.815,34 ; 106.223,41 ; 106.223,41 ; 106.223,41 ; 196.236,53 ; 1.308.243,50 
AM;AMAZONAS;13; 12.209.567,63 ; 13.430.524,40 ; 14.651.481,16 ; 15.872.437,92 ; 17.012.239,16 ; 18.294.062,58 ; 18.294.062,58 ; 19.513.666,75 ; 19.942.892,95 ; 19.979.856,81 ; 19.979.856,81 ; 19.979.856,81 ; 36.910.677,46 ; 246.071.183,02 
AM;ANAMA;1300086; 32.392,09 ; 35.631,30 ; 38.870,51 ; 42.109,72 ; 45.166,78 ; 48.542,59 ; 48.542,59 ; 51.778,76 ; 53.030,08 ; 53.030,83 ; 53.030,83 ; 53.030,83 ; 97.968,86 ; 653.125,77 
AM;AUTAZES;1300300; 238.200,04 ; 262.020,05 ; 285.840,05 ; 309.660,05 ; 332.229,07 ; 356.987,33 ; 356.987,33 ; 380.786,48 ; 389.175,76 ; 389.885,44 ; 389.885,44 ; 389.885,44 ; 720.272,21 ; 4.801.814,69 
AM;BARREIRINHA;1300508; 263.143,87 ; 289.458,26 ; 315.772,65 ; 342.087,04 ; 367.017,83 ; 394.369,93 ; 394.369,93 ; 420.661,26 ; 429.943,55 ; 430.714,97 ; 430.714,97 ; 430.714,97 ; 795.700,46 ; 5.304.669,69 
AM;BENJAMIN CONSTANT;1300607; 392.109,98 ; 431.320,98 ; 470.531,97 ; 509.742,97 ; 546.891,38 ; 587.649,34 ; 587.649,34 ; 626.825,96 ; 640.666,02 ; 641.808,10 ; 641.808,10 ; 641.808,10 ; 1.185.672,75 ; 7.904.484,99 
AM;BOA VISTA DO RAMOS;1300680; 110.755,54 ; 121.831,10 ; 132.906,65 ; 143.982,21 ; 154.475,00 ; 165.987,63 ; 165.987,63 ; 177.053,47 ; 180.964,07 ; 181.285,52 ; 181.285,52 ; 181.285,52 ; 334.905,86 ; 2.232.705,72 
AM;BOCA DO ACRE;1300706; 189.501,95 ; 208.452,15 ; 227.402,34 ; 246.352,54 ; 264.314,20 ; 284.005,80 ; 284.005,80 ; 302.939,52 ; 309.552,58 ; 310.170,13 ; 310.170,13 ; 310.170,13 ; 573.006,58 ; 3.820.043,85 
AM;BORBA;1300805; 101.324,08 ; 111.456,48 ; 121.588,89 ; 131.721,30 ; 141.363,88 ; 151.863,67 ; 151.863,67 ; 161.987,91 ; 165.169,87 ; 165.806,84 ; 165.806,84 ; 165.806,84 ; 306.310,64 ; 2.042.070,91 
AM;CAAPIRANGA;1300839; 68.101,15 ; 74.911,26 ; 81.721,37 ; 88.531,49 ; 94.984,01 ; 102.062,34 ; 102.062,34 ; 108.866,50 ; 111.263,74 ; 111.467,71 ; 111.467,71 ; 111.467,71 ; 205.924,83 ; 1.372.832,16 
AM;CANUTAMA;1300904; 76.308,16 ; 83.938,98 ; 91.569,79 ; 99.200,61 ; 106.431,24 ; 114.362,21 ; 114.362,21 ; 121.986,35 ; 124.668,20 ; 124.900,48 ; 124.900,48 ; 124.900,48 ; 230.740,45 ; 1.538.269,64 
AM;CARAUARI;1301001; 92.256,75 ; 101.482,42 ; 110.708,09 ; 119.933,77 ; 128.640,40 ; 138.255,38 ; 138.255,38 ; 147.472,40 ; 151.036,37 ; 151.038,44 ; 151.038,44 ; 151.038,44 ; 279.027,58 ; 1.860.183,86 
AM;CAREIRO DA VARZEA;1301159; 114.264,26 ; 125.690,69 ; 137.117,11 ; 148.543,54 ; 159.368,39 ; 171.246,01 ; 171.246,01 ; 182.662,42 ; 186.699,77 ; 187.028,90 ; 187.028,90 ; 187.028,90 ; 345.516,16 ; 2.303.441,06 
AM;COARI;1301209; 344.317,92 ; 378.749,71 ; 413.181,51 ; 447.613,30 ; 480.234,81 ; 516.024,34 ; 516.024,34 ; 550.425,96 ; 562.570,58 ; 563.580,88 ; 563.580,88 ; 563.580,88 ; 1.041.156,20 ; 6.941.041,31 
AM;FONTE BOA;1301605; 198.635,41 ; 218.498,95 ; 238.362,49 ; 258.226,03 ; 277.045,23 ; 297.692,05 ; 297.692,05 ; 317.538,18 ; 324.544,27 ; 325.127,18 ; 325.127,18 ; 325.127,18 ; 600.638,16 ; 4.004.254,36 
AM;GUAJARA;1301654; 80.297,02 ; 88.326,72 ; 96.356,43 ; 104.386,13 ; 111.994,04 ; 120.340,10 ; 120.340,10 ; 128.362,77 ; 131.191,19 ; 131.430,07 ; 131.430,07 ; 131.430,07 ; 242.803,19 ; 1.618.687,90 
AM;HUMAITA;1301704; 314.539,94 ; 345.993,93 ; 377.447,92 ; 408.901,91 ; 438.702,76 ; 471.396,63 ; 471.396,63 ; 502.823,08 ; 513.912,24 ; 514.839,61 ; 514.839,61 ; 514.839,61 ; 951.111,86 ; 6.340.745,73 
AM;IPIXUNA;1301803; 54.124,02 ; 59.536,42 ; 64.948,83 ; 70.361,23 ; 75.511,92 ; 81.120,63 ; 81.120,63 ; 86.528,67 ; 88.228,40 ; 88.568,61 ; 88.568,61 ; 88.568,61 ; 163.621,17 ; 1.090.807,75 
AM;ITACOATIARA;1301902; 520.900,97 ; 572.991,07 ; 625.081,17 ; 677.171,27 ; 726.526,35 ; 780.667,72 ; 780.667,72 ; 832.712,23 ; 851.052,55 ; 852.609,29 ; 852.609,29 ; 852.609,29 ; 1.575.105,70 ; 10.500.704,62 
AM;ITAPIRANGA;1302009; 64.512,01 ; 70.963,21 ; 77.414,41 ; 83.865,61 ; 89.977,83 ; 96.683,28 ; 96.683,28 ; 103.128,84 ; 105.401,94 ; 105.593,25 ; 105.593,25 ; 105.593,25 ; 195.072,39 ; 1.300.482,55 
AM;JAPURA;1302108; 46.735,46 ; 51.409,01 ; 56.082,55 ; 60.756,10 ; 65.203,67 ; 70.046,71 ; 70.046,71 ; 74.716,49 ; 76.184,17 ; 76.477,96 ; 76.477,96 ; 76.477,96 ; 141.284,96 ; 941.899,71 
AM;JURUA;1302207; 80.833,48 ; 88.916,83 ; 97.000,18 ; 105.083,53 ; 112.741,00 ; 121.143,78 ; 121.143,78 ; 129.220,03 ; 132.078,54 ; 132.309,32 ; 132.309,32 ; 132.309,32 ; 244.427,50 ; 1.629.516,61 
AM;JUTAI;1302306; 241.690,63 ; 265.859,69 ; 290.028,75 ; 314.197,82 ; 337.095,44 ; 362.218,10 ; 362.218,10 ; 386.365,97 ; 394.897,40 ; 395.600,82 ; 395.600,82 ; 395.600,82 ; 730.830,77 ; 4.872.205,13 
AM;LABREA;1302405; 128.830,83 ; 141.713,91 ; 154.597,00 ; 167.480,08 ; 179.740,38 ; 193.090,56 ; 193.090,56 ; 205.963,26 ; 210.009,02 ; 210.818,93 ; 210.818,93 ; 210.818,93 ; 389.465,72 ; 2.596.438,11 
AM;MANAQUIRI;1302553; 118.362,60 ; 130.198,86 ; 142.035,12 ; 153.871,38 ; 165.084,08 ; 177.388,03 ; 177.388,03 ; 189.213,90 ; 193.399,79 ; 193.737,50 ; 193.737,50 ; 193.737,50 ; 357.909,59 ; 2.386.063,88 
AM;MARAA;1302801; 132.900,65 ; 146.190,71 ; 159.480,78 ; 172.770,84 ; 185.364,21 ; 199.176,82 ; 199.176,82 ; 212.455,27 ; 217.123,77 ; 217.530,29 ; 217.530,29 ; 217.530,29 ; 401.864,25 ; 2.679.094,99 
AM;NHAMUNDA;1303007; 112.679,05 ; 123.946,95 ; 135.214,86 ; 146.482,76 ; 157.157,55 ; 168.870,31 ; 168.870,31 ; 180.128,33 ; 184.108,64 ; 184.434,11 ; 184.434,11 ; 184.434,11 ; 340.722,55 ; 2.271.483,64 
AM;NOVA OLINDA DO NORTE;1303106; 197.364,72 ; 217.101,19 ; 236.837,66 ; 256.574,13 ; 275.273,70 ; 295.787,87 ; 295.787,87 ; 315.507,06 ; 322.461,13 ; 323.046,55 ; 323.046,55 ; 323.046,55 ; 596.794,41 ; 3.978.629,39 
AM;NOVO AIRAO;1303205; 53.622,26 ; 58.984,48 ; 64.346,71 ; 69.708,94 ; 74.811,91 ; 80.368,59 ; 80.368,59 ; 85.726,49 ; 87.410,41 ; 87.747,53 ; 87.747,53 ; 87.747,53 ; 162.104,30 ; 1.080.695,27 
AM;PAUINI;1303502; 54.554,68 ; 60.010,15 ; 65.465,62 ; 70.921,08 ; 76.112,80 ; 81.766,09 ; 81.766,09 ; 87.217,16 ; 88.930,39 ; 89.273,34 ; 89.273,34 ; 89.273,34 ; 164.923,08 ; 1.099.487,16 
AM;RIO PRETO DA EVA;1303569; 187.054,82 ; 205.760,30 ; 224.465,78 ; 243.171,27 ; 260.896,16 ; 280.337,11 ; 280.337,11 ; 299.026,25 ; 305.597,37 ; 306.169,26 ; 306.169,26 ; 306.169,26 ; 565.615,41 ; 3.770.769,36 
AM;SANTA ISABEL DO RIO NEGRO;1303601; 60.118,36 ; 66.130,19 ; 72.142,03 ; 78.153,86 ; 83.827,46 ; 90.092,99 ; 90.092,99 ; 96.099,18 ; 98.421,58 ; 98.422,97 ; 98.422,97 ; 98.422,97 ; 181.826,04 ; 1.212.173,59 
AM;SANTO ANTONIO DO ICA;1303700; 257.161,57 ; 282.877,72 ; 308.593,88 ; 334.310,04 ; 358.674,50 ; 385.404,45 ; 385.404,45 ; 411.098,08 ; 420.165,20 ; 420.922,67 ; 420.922,67 ; 420.922,67 ; 777.610,22 ; 5.184.068,12 
AM;SAO GABRIEL DA CACHOEIRA;1303809; 322.126,72 ; 354.339,40 ; 386.552,07 ; 418.764,74 ; 449.293,05 ; 482.769,00 ; 482.769,00 ; 514.953,60 ; 526.231,51 ; 527.249,49 ; 527.249,49 ; 527.249,49 ; 974.037,81 ; 6.493.585,37 
AM;SAO SEBASTIAO DO UATUMA;1303957; 30.640,18 ; 33.704,20 ; 36.768,22 ; 39.832,23 ; 42.723,94 ; 45.917,18 ; 45.917,18 ; 48.978,33 ; 50.161,98 ; 50.162,68 ; 50.162,68 ; 50.162,68 ; 92.670,26 ; 617.801,74 
AM;SILVES;1304005; 36.456,88 ; 40.102,57 ; 43.748,26 ; 47.393,95 ; 50.863,48 ; 54.641,27 ; 54.641,27 ; 58.284,02 ; 59.428,90 ; 59.658,09 ; 59.658,09 ; 59.658,09 ; 110.212,03 ; 734.746,90 
AM;TABATINGA;1304062; 531.565,96 ; 584.722,55 ; 637.879,15 ; 691.035,74 ; 741.393,91 ; 796.649,35 ; 796.649,35 ; 849.759,31 ; 868.542,52 ; 870.072,71 ; 870.072,71 ; 870.072,71 ; 1.607.367,53 ; 10.715.783,50 
AM;TAPAUA;1304104; 163.643,71 ; 180.008,08 ; 196.372,45 ; 212.736,82 ; 228.244,75 ; 245.251,47 ; 245.251,47 ; 261.601,56 ; 267.337,55 ; 267.848,90 ; 267.848,90 ; 267.848,90 ; 494.822,57 ; 3.298.817,13 
AM;TONANTINS;1304237; 157.156,28 ; 172.871,91 ; 188.587,54 ; 204.303,17 ; 219.190,07 ; 235.527,26 ; 235.527,26 ; 251.229,08 ; 256.794,45 ; 257.236,31 ; 257.236,31 ; 257.236,31 ; 475.216,94 ; 3.168.112,89 
AM;URUCARA;1304302; 46.644,51 ; 51.308,96 ; 55.973,41 ; 60.637,86 ; 65.039,82 ; 69.901,16 ; 69.901,16 ; 74.561,24 ; 76.363,17 ; 76.364,21 ; 76.364,21 ; 76.364,21 ; 141.074,81 ; 940.498,73 
AM;URUCURITUBA;1304401; 116.038,57 ; 127.642,42 ; 139.246,28 ; 150.850,14 ; 161.844,57 ; 173.905,51 ; 173.905,51 ; 185.499,21 ; 189.585,75 ; 189.931,71 ; 189.931,71 ; 189.931,71 ; 350.878,79 ; 2.339.191,88 
AP;AMAPA;1600105; 22.120,63 ; 24.332,69 ; 26.544,75 ; 28.756,82 ; 30.844,53 ; 33.149,83 ; 33.149,83 ; 35.359,82 ; 36.214,35 ; 36.214,86 ; 36.214,86 ; 36.214,86 ; 66.903,14 ; 446.020,97 
AP;CALCOENE;1600204; 61.605,93 ; 67.766,52 ; 73.927,11 ; 80.087,71 ; 85.924,54 ; 92.327,96 ; 92.327,96 ; 98.483,16 ; 100.654,49 ; 100.836,65 ; 100.836,65 ; 100.836,65 ; 186.285,06 ; 1.241.900,39 
AP;LARANJAL DO JARI;1600279; 224.549,30 ; 247.004,23 ; 269.459,16 ; 291.914,09 ; 313.191,32 ; 336.529,53 ; 336.529,53 ; 358.964,83 ; 366.858,71 ; 367.540,40 ; 367.540,40 ; 367.540,40 ; 678.992,10 ; 4.526.614,00 
AP;MACAPA;1600303; 1.280.825,15 ; 1.408.907,67 ; 1.536.990,18 ; 1.665.072,69 ; 1.785.844,44 ; 1.919.410,04 ; 1.919.410,04 ; 2.047.370,71 ; 2.092.322,88 ; 2.096.272,30 ; 2.096.272,30 ; 2.096.272,30 ; 3.872.641,89 ; 25.817.612,59 
AP;MAZAGAO;1600402; 93.292,88 ; 102.622,17 ; 111.951,45 ; 121.280,74 ; 125.098,54 ; 138.561,45 ; 138.561,45 ; 147.798,88 ; 151.370,72 ; 151.372,82 ; 151.372,82 ; 151.372,82 ; 279.645,31 ; 1.864.302,05 
AP;PEDRA BRANCA DO AMAPARI;1600154; 54.920,04 ; 60.412,04 ; 65.904,04 ; 71.396,05 ; 71.241,54 ; 80.968,45 ; 80.968,45 ; 86.366,35 ; 88.267,24 ; 88.429,83 ; 88.429,83 ; 88.429,83 ; 163.364,77 ; 1.089.098,46 
AP;SANTANA;1600600; 402.536,06 ; 442.789,67 ; 483.043,27 ; 523.296,88 ; 580.451,59 ; 608.029,37 ; 608.029,37 ; 648.564,66 ; 662.836,95 ; 664.060,01 ; 664.060,01 ; 664.060,01 ; 1.226.780,80 ; 8.178.538,65 
AP;SERRA DO NAVIO;1600055; 18.105,80 ; 19.916,38 ; 21.726,96 ; 23.537,54 ; 25.252,96 ; 27.134,89 ; 27.134,89 ; 28.943,89 ; 29.582,92 ; 29.635,69 ; 29.635,69 ; 29.635,69 ; 54.748,81 ; 364.992,11 
AP;TARTARUGALZINHO;1600709; 87.956,19 ; 96.751,81 ; 105.547,42 ; 114.343,04 ; 122.675,86 ; 131.818,60 ; 131.818,60 ; 140.606,50 ; 143.711,75 ; 143.967,32 ; 143.967,32 ; 143.967,32 ; 265.964,43 ; 1.773.096,16 
BA;ABAIRA;2900108; 16.811,84 ; 18.493,03 ; 20.174,21 ; 21.855,40 ; 23.442,09 ; 25.194,12 ; 25.194,12 ; 26.873,73 ; 27.523,18 ; 27.523,57 ; 27.523,57 ; 27.523,57 ; 50.846,89 ; 338.979,32 
BA;ABARE;2900207; 69.248,86 ; 76.173,74 ; 83.098,63 ; 90.023,51 ; 96.613,59 ; 103.789,60 ; 103.789,60 ; 110.708,91 ; 112.883,62 ; 113.318,91 ; 113.318,91 ; 113.318,91 ; 209.344,73 ; 1.395.631,52 
BA;ACAJUTIBA;2900306; 135.199,43 ; 148.719,37 ; 162.239,31 ; 175.759,25 ; 188.568,64 ; 202.621,50 ; 202.621,50 ; 216.129,60 ; 220.895,98 ; 221.294,69 ; 221.294,69 ; 221.294,69 ; 408.818,59 ; 2.725.457,24 
BA;ADUSTINA;2900355; 104.424,06 ; 114.866,46 ; 125.308,87 ; 135.751,27 ; 145.648,55 ; 156.499,81 ; 156.499,81 ; 166.933,13 ; 170.580,70 ; 170.917,98 ; 170.917,98 ; 170.917,98 ; 315.752,93 ; 2.105.019,53 
BA;AIQUARA;2900603; 14.112,31 ; 15.523,54 ; 16.934,77 ; 18.346,00 ; 19.689,10 ; 21.151,41 ; 21.151,41 ; 22.561,51 ; 23.004,68 ; 23.093,41 ; 23.093,41 ; 23.093,41 ; 42.662,63 ; 284.417,59 
BA;AMERICA DOURADA;2901155; 54.871,63 ; 60.358,79 ; 65.845,96 ; 71.333,12 ; 76.511,56 ; 82.230,28 ; 82.230,28 ; 87.712,29 ; 89.832,03 ; 89.833,27 ; 89.833,27 ; 89.833,27 ; 165.957,49 ; 1.106.383,24 
BA;ANDORINHA;2901353; 121.621,77 ; 133.783,94 ; 145.946,12 ; 158.108,30 ; 169.632,81 ; 182.273,25 ; 182.273,25 ; 194.424,80 ; 198.698,05 ; 199.069,24 ; 199.069,24 ; 199.069,24 ; 367.759,42 ; 2.451.729,43 
BA;ANGUERA;2901502; 107.364,61 ; 118.101,07 ; 128.837,53 ; 139.573,99 ; 149.749,50 ; 160.906,68 ; 160.906,68 ; 171.633,79 ; 175.388,53 ; 175.731,45 ; 175.731,45 ; 175.731,45 ; 324.645,31 ; 2.164.302,04 
BA;ANTAS;2901601; 140.452,29 ; 154.497,52 ; 168.542,74 ; 182.587,97 ; 195.897,31 ; 210.494,47 ; 210.494,47 ; 224.527,44 ; 229.457,89 ; 229.890,38 ; 229.890,38 ; 229.890,38 ; 424.698,22 ; 2.831.321,46 
BA;ANTONIO GONCALVES;2901809; 67.795,51 ; 74.575,06 ; 81.354,61 ; 88.134,16 ; 83.852,84 ; 98.928,07 ; 98.928,07 ; 105.523,27 ; 107.846,62 ; 108.044,57 ; 108.044,57 ; 108.044,57 ; 199.600,93 ; 1.330.672,85 
BA;APORA;2901908; 53.262,03 ; 58.588,23 ; 63.914,44 ; 69.240,64 ; 74.309,32 ; 79.828,68 ; 79.828,68 ; 85.150,59 ; 86.823,22 ; 87.158,05 ; 87.158,05 ; 87.158,05 ; 161.015,30 ; 1.073.435,28 
BA;APUAREMA;2901957; 45.325,13 ; 49.857,64 ; 54.390,15 ; 58.922,66 ; 63.218,04 ; 67.928,43 ; 67.928,43 ; 72.456,99 ; 74.044,27 ; 74.187,14 ; 74.187,14 ; 74.187,14 ; 137.052,92 ; 913.686,08 
BA;ARACAS;2902054; 73.561,19 ; 80.917,31 ; 88.273,42 ; 95.629,54 ; 102.598,98 ; 110.245,13 ; 110.245,13 ; 117.594,80 ; 120.188,31 ; 120.405,11 ; 120.405,11 ; 120.405,11 ; 222.435,74 ; 1.482.904,88 
BA;ARACATU;2902005; 135.975,49 ; 149.573,04 ; 163.170,59 ; 176.768,14 ; 189.652,11 ; 203.784,86 ; 203.784,86 ; 217.370,52 ; 222.154,23 ; 222.563,91 ; 222.563,91 ; 222.563,91 ; 411.163,34 ; 2.741.088,91 
BA;ARATUIPE;2902302; 25.892,31 ; 28.481,54 ; 31.070,78 ; 33.660,01 ; 36.124,15 ; 38.807,18 ; 38.807,18 ; 41.394,33 ; 42.207,44 ; 42.370,22 ; 42.370,22 ; 42.370,22 ; 78.274,51 ; 521.830,09 
BA;AURELINO LEAL;2902401; 83.515,94 ; 91.867,54 ; 100.219,13 ; 108.570,72 ; 116.483,84 ; 125.164,31 ; 125.164,31 ; 133.508,60 ; 136.448,27 ; 136.698,58 ; 136.698,58 ; 136.698,58 ; 252.536,20 ; 1.683.574,60 
BA;BANZAE;2902658; 103.755,26 ; 114.130,78 ; 124.506,31 ; 134.881,83 ; 144.714,17 ; 155.497,10 ; 155.497,10 ; 165.863,57 ; 169.501,76 ; 169.824,77 ; 169.824,77 ; 169.824,77 ; 313.733,33 ; 2.091.555,52 
BA;BARRA DO CHOCA;2902906; 244.907,51 ; 269.398,26 ; 293.889,01 ; 318.379,76 ; 341.585,43 ; 367.040,00 ; 367.040,00 ; 391.509,33 ; 400.124,59 ; 400.863,14 ; 400.863,14 ; 400.863,14 ; 740.552,35 ; 4.937.015,66 
BA;BARRO ALTO;2903235; 84.617,92 ; 93.079,71 ; 101.541,50 ; 110.003,29 ; 118.021,35 ; 126.815,95 ; 126.815,95 ; 135.270,35 ; 138.244,19 ; 138.501,81 ; 138.501,81 ; 138.501,81 ; 255.867,47 ; 1.705.783,11 
BA;BARROCAS;2903276; 127.284,78 ; 140.013,25 ; 152.741,73 ; 165.470,21 ; 177.531,36 ; 190.760,35 ; 190.760,35 ; 203.477,70 ; 207.949,76 ; 208.338,38 ; 208.338,38 ; 208.338,38 ; 384.883,17 ; 2.565.887,80 
BA;BELMONTE;2903409; 131.224,76 ; 144.347,24 ; 157.469,71 ; 170.592,19 ; 183.026,89 ; 196.665,22 ; 196.665,22 ; 209.776,23 ; 214.384,64 ; 214.787,09 ; 214.787,09 ; 214.787,09 ; 396.796,48 ; 2.645.309,85 
BA;BELO CAMPO;2903508; 118.470,56 ; 130.317,62 ; 142.164,67 ; 154.011,73 ; 165.236,84 ; 177.550,37 ; 177.550,37 ; 189.387,06 ; 193.557,00 ; 193.912,15 ; 193.912,15 ; 193.912,15 ; 358.232,24 ; 2.388.214,91 
BA;BIRITINGA;2903607; 134.586,03 ; 148.044,63 ; 161.503,23 ; 174.961,84 ; 187.713,32 ; 201.702,29 ; 201.702,29 ; 215.149,11 ; 219.891,22 ; 220.290,40 ; 220.290,40 ; 220.290,40 ; 406.963,27 ; 2.713.088,43 
BA;BOA NOVA;2903706; 104.612,04 ; 115.073,24 ; 125.534,44 ; 135.995,65 ; 145.907,75 ; 156.780,79 ; 156.780,79 ; 167.232,85 ; 170.914,03 ; 171.228,47 ; 171.228,47 ; 171.228,47 ; 316.326,53 ; 2.108.843,52 
BA;BOA VISTA DO TUPIM;2903805; 54.652,96 ; 60.118,26 ; 65.583,55 ; 71.048,85 ; 76.206,66 ; 81.902,58 ; 81.902,58 ; 87.362,75 ; 89.474,03 ; 89.475,28 ; 89.475,28 ; 89.475,28 ; 165.296,13 ; 1.101.974,19 
BA;BOM JESUS DA LAPA;2903904; 472.413,35 ; 519.654,69 ; 566.896,02 ; 614.137,36 ; 658.894,39 ; 707.998,98 ; 707.998,98 ; 755.198,91 ; 771.866,89 ; 773.248,50 ; 773.248,50 ; 773.248,50 ; 1.428.495,02 ; 9.523.300,09 
BA;BOM JESUS DA SERRA;2903953; 24.881,53 ; 27.369,68 ; 29.857,84 ; 32.345,99 ; 34.694,24 ; 37.287,31 ; 37.287,31 ; 39.773,13 ; 40.734,32 ; 40.734,89 ; 40.734,89 ; 40.734,89 ; 75.253,41 ; 501.689,43 
BA;BOQUIRA;2904100; 120.744,47 ; 132.818,92 ; 144.893,36 ; 156.967,81 ; 150.453,13 ; 176.469,44 ; 176.469,44 ; 188.234,07 ; 192.372,96 ; 192.730,86 ; 192.730,86 ; 192.730,86 ; 356.049,92 ; 2.373.666,10 
BA;BURITIRAMA;2904753; 127.020,87 ; 139.722,95 ; 152.425,04 ; 165.127,12 ; 177.159,55 ; 190.363,90 ; 190.363,90 ; 203.054,83 ; 207.551,43 ; 207.909,93 ; 207.909,93 ; 207.909,93 ; 384.091,66 ; 2.560.611,04 
BA;CABACEIRAS DO PARAGUACU;2904852; 64.649,61 ; 71.114,57 ; 77.579,53 ; 84.044,49 ; 90.196,92 ; 96.896,29 ; 96.896,29 ; 103.356,04 ; 105.386,30 ; 105.792,70 ; 105.792,70 ; 105.792,70 ; 195.440,85 ; 1.302.938,99 
BA;CACHOEIRA;2904902; 139.762,79 ; 153.739,07 ; 167.715,35 ; 181.691,63 ; 194.932,94 ; 209.460,46 ; 209.460,46 ; 223.424,49 ; 228.355,29 ; 228.764,38 ; 228.764,38 ; 228.764,38 ; 422.618,06 ; 2.817.453,68 
BA;CAETANOS;2905156; 72.381,01 ; 79.619,11 ; 86.857,21 ; 94.095,31 ; 100.953,19 ; 108.476,47 ; 108.476,47 ; 115.708,24 ; 118.257,55 ; 118.473,12 ; 118.473,12 ; 118.473,12 ; 218.866,58 ; 1.459.110,50 
BA;CAFARNAUM;2905305; 108.518,33 ; 119.370,17 ; 130.222,00 ; 141.073,83 ; 151.354,87 ; 162.634,82 ; 162.634,82 ; 173.477,14 ; 177.306,59 ; 177.623,41 ; 177.623,41 ; 177.623,41 ; 328.140,50 ; 2.187.603,30 
BA;CAIRU;2905404; 156.123,61 ; 171.735,97 ; 187.348,33 ; 202.960,69 ; 217.757,39 ; 233.981,51 ; 233.981,51 ; 249.580,27 ; 255.039,88 ; 255.538,81 ; 255.538,81 ; 255.538,81 ; 472.080,99 ; 3.147.206,58 
BA;CAMPO FORMOSO;2906006; 427.282,02 ; 470.010,22 ; 512.738,42 ; 555.466,62 ; 595.948,28 ; 640.361,40 ; 640.361,40 ; 683.052,16 ; 698.124,25 ; 699.376,95 ; 699.376,95 ; 699.376,95 ; 1.292.025,11 ; 8.613.500,73 
BA;CANARANA;2906204; 163.356,87 ; 179.692,55 ; 196.028,24 ; 212.363,92 ; 227.842,44 ; 244.821,02 ; 244.821,02 ; 261.142,42 ; 266.888,61 ; 267.381,50 ; 267.381,50 ; 267.381,50 ; 493.959,11 ; 3.293.060,70 
BA;CANDEAL;2906402; 40.413,12 ; 44.454,43 ; 48.495,74 ; 52.537,05 ; 56.366,01 ; 60.566,56 ; 60.566,56 ; 64.604,33 ; 66.029,65 ; 66.148,33 ; 66.148,33 ; 66.148,33 ; 122.202,07 ; 814.680,51 
