;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;BRASILEIA;12016284;;ESC KAIRALA JOSE KAIRALA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL SISTEMA S;Pública;Não se aplica;296,00
AC;BRASILEIA;12026948;;ESC VALERIA BISPO SABALA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL SISTEMA S;Pública;Não se aplica;187,00
AC;BRASILEIA;12026948;;ESC VALERIA BISPO SABALA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;210,00
AC;BRASILEIA;12034568;;ESC MARIA DAS GRACAS ROCHA RODRIGUES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;346,00
AC;BRASILEIA;12034568;;ESC MARIA DAS GRACAS ROCHA RODRIGUES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL SISTEMA S;Pública;Não se aplica;122,00
AC;BUJARI;12009350;;ESC CAJUEIRO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;4,00
AC;BUJARI;12009369;;ESC SAO JOAO BATISTA;CONCOMITANTE AO ENS. MÉDIO SISTEMA S;Pública;Não se aplica;1,00
AC;BUJARI;12009369;;ESC SAO JOAO BATISTA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;280,00
AC;BUJARI;12009687;;ESC NOSSA SENHORA DA ESPERANCA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;12,00
AC;BUJARI;12103225;;ESC PARAISO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;1,00
AC;BUJARI;12104221;;ESC SAO PEDRO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;8,00
AC;CAPIXABA;12009725;;ESC ARGENTINA PEREIRA FEITOSA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;253,00
AC;CAPIXABA;12023396;;ESC NOVA ESPERANCA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;45,00
AC;CAPIXABA;12030899;;ESC ARISTON FERREIRA DA CUNHA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;60,00
